SessionID,Course,Feedback,Final_feedback,Prompt_word_count,Time_taken
1,1,1,0,344,41.84218716621399
2,1,1,0,352,13.62
3,1,1,0,316,10.28
4,1,1,0,317,21.22
5,0,0,0,344,37.6
6,0,0,0,352,12.9
7,0,0,0,316,11.79
8,0,0,0,307,10.46
9,0,0,0,343,0.0
10,0,0,0,352,0.0
11,0,0,0,320,0.0
12,0,0,0,313,0.0
13,0,0,0,337,0.0
14,0,0,0,352,0.0
15,0,0,0,320,0.0
16,0,0,0,313,0.0
17,1,0,0,94,17.96
18,1,0,0,99,9.62
19,1,0,0,99,20.18
20,1,0,0,99,11.48
21,1,0,0,99,7.94
22,1,0,0,99,9.75
23,1,0,0,99,12.07
24,1,0,0,99,12.25
25,1,0,0,99,12.4
26,1,0,0,99,13.51
27,1,0,0,99,8.97
28,1,0,0,99,13.48
29,1,0,0,99,10.37
30,1,0,0,99,5.42
31,1,0,0,99,9.35
32,1,0,0,99,16.26
33,1,0,0,99,9.83
34,1,0,0,99,11.18
35,1,0,0,99,7.14
36,1,0,0,99,12.42
37,1,0,0,99,10.87
38,1,0,0,99,6.98
39,1,0,0,99,8.66
40,1,0,0,99,9.13
41,1,0,0,99,8.66
42,1,0,0,99,9.84
43,1,0,0,99,8.48
44,1,0,0,99,9.48
45,1,0,0,99,5.18
46,1,0,0,99,6.52
47,1,0,0,99,17.33
48,0,1,0,337,0.0
49,0,1,0,352,0.0
50,0,1,0,320,0.0
51,0,1,0,313,0.0
52,0,1,0,337,8.95
53,0,1,0,352,15.48
54,0,1,0,316,10.73
55,0,1,0,307,7.57
56,0,1,0,307,0.0
57,0,1,0,323,0.0
58,0,1,0,284,0.0
59,0,1,0,277,0.0
60,0,1,0,305,0.0
61,0,1,0,320,0.0
62,0,1,0,324,0.0
63,0,1,0,307,0.0
