Session ID,Time Spent (seconds),Course Name,Date,Time
1,142.047,Talking about yourself,2025-03-10,11:46:08
2,192.641,Talking about yourself,2025-03-10,11:46:08
3,0.859,Talking about yourself,2025-03-14,16:23:08
4,6.993,Talking about yourself,2025-03-14,16:24:55
5,0.599,Talking about yourself,2025-03-14,16:24:55
6,0.28,Talking about yourself,2025-03-14,16:24:55
7,0.229,Talking about yourself,2025-03-14,16:24:55
8,0.203,Talking about yourself,2025-03-14,16:24:55
9,0.18,Talking about yourself,2025-03-14,16:24:55
10,0.198,Talking about yourself,2025-03-14,16:24:55
11,0.189,Talking about yourself,2025-03-14,16:24:55
12,7.059,Talking about yourself,2025-03-14,16:24:55
13,2.87,Talking about yourself,2025-03-14,16:45:26
14,60.621,Talking about yourself,2025-03-14,19:38:03
15,22.58,Talking about yourself,2025-03-14,19:39:04
16,13.563,Talking about yourself,2025-03-15,09:19:06
17,23.539,Talking about yourself,2025-03-15,09:19:06
18,41.035,Talking about yourself,2025-03-15,09:19:06
19,15.964,Talking about yourself,2025-03-15,09:20:45
20,0.94,Talking about yourself,2025-03-15,09:20:45
21,16.021,Talking about yourself,2025-03-15,09:21:37
22,9.994,Talking about yourself,2025-03-15,09:21:53
23,1.287,Talking about yourself,2025-03-15,09:21:53
24,18.337,Talking about yourself,2025-03-15,09:22:35
25,13.075,Talking about yourself,2025-03-15,09:22:53
26,8.947,Talking about yourself,2025-03-15,09:23:06
27,0.883,Talking about yourself,2025-03-15,09:23:15
28,0.905,Talking about yourself,2025-03-15,09:23:15
29,11.195,Talking about yourself,2025-03-15,09:24:31
30,13.805,Talking about yourself,2025-03-15,09:24:42
31,6.747,Talking about yourself,2025-03-15,09:24:56
32,1.11,Talking about yourself,2025-03-15,09:24:56
33,0.71,Talking about yourself,2025-03-15,09:25:12
34,0.918,Talking about yourself,2025-03-15,09:25:12
35,3.468,Talking about yourself,2025-03-15,09:25:24
36,51.952,Talking about yourself,2025-03-15,09:25:24
37,53.882,Talking about yourself,2025-03-15,09:27:27
38,10.472,Talking about yourself,2025-03-15,09:28:20
39,8.594,Talking about yourself,2025-03-15,09:28:31
40,1.0,Talking about yourself,2025-03-15,09:28:31
41,11.903,Talking about yourself,2025-03-15,09:29:09
42,14.782,Talking about yourself,2025-03-15,09:29:09
43,11.137,Talking about yourself,2025-03-15,09:29:59
44,9.093,Talking about yourself,2025-03-15,09:30:11
45,21.571,Talking about yourself,2025-03-15,09:30:20
46,21.446,Talking about yourself,2025-03-15,09:30:41
47,46.906,Talking about yourself,2025-03-15,09:31:03
48,12.321,Talking about yourself,2025-03-15,09:31:50
49,15.971,Talking about yourself,2025-03-15,09:32:02
50,10.01,Talking about yourself,2025-03-15,09:32:18
51,4.729,Talking about yourself,2025-03-15,09:32:28
52,10.357,Talking about yourself,2025-03-15,09:32:33
53,9.067,Talking about yourself,2025-03-15,09:32:43
54,7.496,Talking about yourself,2025-03-15,09:32:53
55,17.584,Talking about yourself,2025-03-15,09:33:00
56,16.698,Talking about yourself,2025-03-15,09:33:18
57,50.026,Talking about yourself,2025-03-15,09:33:34
58,0.93,Talking about yourself,2025-03-15,09:33:34
59,39.919,Talking about yourself,2025-03-15,09:38:05
60,0.685,Talking about yourself,2025-03-15,09:38:05
61,25.062,Talking about yourself,2025-03-15,09:39:20
62,32.594,Talking about yourself,2025-03-15,09:39:45
63,6.488,Talking about yourself,2025-03-15,09:40:18
64,37.957,Talking about yourself,2025-03-15,09:40:25
65,20.224,Talking about yourself,2025-03-15,09:41:03
66,14.208,Talking about yourself,2025-03-15,09:41:03
67,23.54,Talking about yourself,2025-03-15,09:41:54
68,10.39,Talking about yourself,2025-03-15,09:42:17
69,27.402,Talking about yourself,2025-03-15,09:42:28
70,16.307,"Days, months and dates",2025-03-15,09:43:45
71,6.464,"Days, months and dates",2025-03-15,09:44:01
72,6.646,"Days, months and dates",2025-03-15,09:44:08
73,4.557,"Days, months and dates",2025-03-15,09:44:14
74,33.78,Talking about yourself,2025-03-16,15:22:48
75,18.962,Talking about yourself,2025-03-16,15:22:48
